Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
UNG,Commodity Pool,0.60%,,,$815.70 ,38.4," 4,844,729 ", 2.62 ,,,,,,,,,,,,,
BNDX,,0.20%,$0.05,0.72%,$810.10 ,16.4," 125,958 ", (0.19),,,,,,,,,,,,,
RFG,ETF,0.35%,$0.18,1.01%,$800.30 ,6.6," 26,903 ", 1.32 ,,,,,,,,,,,,,
SDIV,ETF,0.58%,$0.12,7.74%,$797.70 ,34.4," 246,061 ", (1.07),,,,,,,,,,,,,
HYD,ETF,0.35%,$0.13,5.95%,$794.00 ,27.9," 297,186 ", (0.71),,,,,,,,,,,,,
DLS,ETF,0.58%,$0.33,3.72%,$782.10 ,12.7," 54,497 ", 1.00 ,,,,,,,,,,,,,
QLD,ETF,0.95%,$0.13,0.22%,$776.60 ,7.9," 2,687,488 ", 2.24 ,,,,,,,,,,,,,
CVY,ETF,0.60%,$0.32,5.40%,$764.80 ,31," 212,953 ", (1.00),,,,,,,,,,,,,
DHS,ETF,0.38%,$0.15,2.94%,$758.90 ,13.8," 36,858 ", 0.89 ,,,,,,,,,,,,,
PPLT,Grantor Trust,0.60%,,,$724.40 ,5.4," 34,956 ", (1.70),,,,,,,,,,,,,
BSJF,ETF,0.42%,$0.08,4.42%,$715.30 ,26.8," 180,516 ", (0.31),,,,,,,,,,,,,
FEX,ETF,0.70%,$0.12,1.73%,$712.20 ,17.4," 103,695 ", 1.07 ,,,,,,,,,,,,,
CSD,ETF,0.60%,$0.08,0.17%,$708.70 ,15.9," 269,402 ", 1.84 ,,,,,,,,,,,,,
XPH,ETF,0.35%,$0.12,0.72%,$703.90 ,8.1," 126,648 ", 1.82 ,,,,,,,,,,,,,
IFGL,ETF,0.48%,$2.64,11.97%,$695.30 ,23.1," 154,995 ", (1.26),,,,,,,,,,,,,
UUP,Commodity Pool,0.50%,$0.20,,$691.50 ,32," 828,450 ", (0.45),,,,,,,,,,,,,
IGM,ETF,0.48%,$0.20,0.78%,$685.50 ,7.7," 26,628 ", 1.05 ,,,,,,,,,,,,,
FDL,ETF,0.45%,$0.20,4.08%,$685.30 ,31.4," 152,180 ", 0.92 ,,,,,,,,,,,,,
MLPN,ETN,0.85%,$0.33,3.33%,$685.30 ,21.9," 108,681 ", 1.26 ,,,,,,,,,,,,,
